K1,K2,target,cluster
3.609914,3.382046,yes,cluster1
3.276669,1.933729,yes,cluster1
2.500991,-0.413241,yes,cluster2
2.416921,0.254568,yes,cluster2
1.641245,0.179927,yes,cluster2
1.769719,0.405331,yes,cluster2
2.413178,1.349952,yes,cluster1
2.350812,-0.071676,yes,cluster2
3.632408,0.541268,yes,cluster1
3.431589,0.599099,yes,cluster1
1.92838,-0.383088,yes,cluster2
2.642025,0.697467,yes,cluster1
2.487771,0.120611,yes,cluster2
2.958681,2.465108,yes,cluster1
3.850276,1.667296,yes,cluster1
2.729837,1.414213,yes,cluster1
2.914941,1.315351,yes,cluster1
3.215632,3.462619,yes,cluster1
2.237222,-0.748379,yes,cluster2
3.541436,1.890229,yes,cluster1
1.859902,0.643587,yes,cluster2
3.170895,0.387042,yes,cluster1
2.166373,-0.867508,yes,cluster2
2.942384,1.906047,yes,cluster1
3.898424,0.685605,yes,cluster1
2.858977,1.056826,yes,cluster1
3.206819,0.845265,yes,cluster1
2.103674,0.410274,yes,cluster2
3.043418,1.872435,yes,cluster1
2.813909,2.301492,yes,cluster1
2.039602,-0.436967,yes,cluster2
1.337145,-0.231336,yes,cluster2
2.712541,-0.245671,yes,cluster2
2.732208,2.638114,yes,cluster1
2.95257,1.137893,yes,cluster1
3.115762,1.969813,yes,cluster1
3.133599,1.028653,yes,cluster1
3.312592,0.743931,yes,cluster1
3.169523,1.287175,yes,cluster1
3.29089,1.647031,yes,cluster1
2.845091,0.936217,yes,cluster1
2.606766,0.867506,yes,cluster1
1.181477,0.03559,yes,cluster2
1.540211,0.545714,yes,cluster2
3.37396,0.554611,yes,cluster1
2.33759,0.462177,yes,cluster2
3.347517,0.394951,yes,cluster1
2.997515,0.590203,yes,cluster1
2.292023,0.644576,yes,cluster2
1.8957,-0.438945,yes,cluster2
2.774243,0.730586,yes,cluster1
1.482584,1.16508,yes,cluster2
2.734577,1.894678,yes,cluster1
2.758525,0.889259,yes,cluster1
3.160042,1.14778,yes,cluster1
2.381246,-0.028175,yes,cluster2
1.978026,-0.666821,yes,cluster2
1.850423,-0.624804,yes,cluster2
3.486055,0.401872,yes,cluster1
1.719079,-0.021749,yes,cluster2
2.196227,1.487865,yes,cluster1
1.92996,0.471073,yes,cluster2
3.697603,1.933234,yes,cluster1
2.053821,0.44883,yes,cluster2
3.149191,0.805227,yes,cluster1
2.186579,-1.290141,yes,cluster2
2.204708,1.462159,yes,cluster1
2.540657,0.715754,yes,cluster1
2.311146,-0.241716,yes,cluster2
1.706605,-0.213046,yes,cluster2
2.584398,1.712773,yes,cluster1
2.252108,0.615907,yes,cluster2
2.897645,-0.846254,yes,cluster2
2.272148,-0.404344,yes,cluster2
2.855069,1.137895,yes,cluster1
2.437252,1.139871,yes,cluster1
2.917312,1.553111,yes,cluster1
2.558618,0.303504,yes,cluster2
2.626972,-0.012358,yes,cluster2
2.43185,1.785931,yes,cluster1
2.876772,0.346015,yes,cluster1
2.441868,0.142359,yes,cluster2
2.462159,1.300521,yes,cluster1
4.094506,2.376133,yes,cluster1
0.805031,0.152741,yes,cluster2
2.674579,3.391934,yes,cluster1
2.604604,1.427064,yes,cluster1
1.815581,-0.2605,yes,cluster2
2.566435,1.538776,yes,cluster1
0.772351,0.662866,yes,cluster2
3.019967,0.618379,yes,cluster1
1.903436,-0.401377,yes,cluster2
3.169398,0.636174,yes,cluster1
2.36179,0.38803,yes,cluster2
1.757328,0.423126,yes,cluster2
1.313196,-0.470579,yes,cluster2
1.888717,1.384553,yes,cluster2
1.233615,-0.478983,yes,cluster2
2.946125,0.675224,yes,cluster1
3.091565,0.763211,yes,cluster1
4.029145,0.935721,yes,cluster1
4.083029,3.384024,yes,cluster1
2.756943,0.345025,yes,cluster1
3.20582,2.074605,yes,cluster1
2.943007,0.457234,yes,cluster1
2.161301,2.032096,yes,cluster1
3.603804,2.736481,yes,cluster1
1.789927,0.146315,yes,cluster2
2.205372,0.069696,yes,cluster2
1.424956,-0.468109,yes,cluster2
2.502656,0.31784,yes,cluster2
3.418367,0.433013,yes,cluster1
2.726094,1.425088,yes,cluster1
1.4514,-0.89074,yes,cluster2
2.276221,0.321299,yes,cluster2
2.888498,0.063272,yes,cluster1
3.025456,1.06968,yes,cluster1
3.360073,2.105252,yes,cluster1
2.092489,-0.232819,yes,cluster2
1.789927,0.21008,yes,cluster2
1.262554,1.096868,yes,cluster2
2.186579,-0.076124,yes,cluster2
2.78422,0.417196,yes,cluster1
2.65275,0.882338,yes,cluster1
2.582651,0.072169,yes,cluster2
2.569345,-0.642104,yes,cluster2
1.246088,-0.774085,yes,cluster2
3.437825,1.390981,yes,cluster1
3.136718,1.395428,yes,cluster1
1.66328,1.034583,yes,cluster2
3.449551,0.621344,yes,cluster1
2.434132,1.006408,yes,cluster1
2.205372,-0.017301,yes,cluster2
1.922975,-0.290654,yes,cluster2
2.316635,-0.009887,yes,cluster2
1.804646,-0.444876,yes,cluster2
1.910088,0.746897,yes,cluster2
2.045216,0.36035,yes,cluster2
0.988637,0.440921,yes,cluster2
1.005104,0.938688,yes,cluster2
2.716616,0.884809,yes,cluster1
1.797536,0.339096,yes,cluster2
2.928164,1.085992,yes,cluster1
1.134828,0.022738,yes,cluster2
2.501324,2.265408,yes,cluster1
2.542403,0.795339,yes,cluster1
2.578161,1.288658,yes,cluster1
3.969273,1.569423,yes,cluster1
2.875277,0.359362,yes,cluster1
2.787464,0.105288,yes,cluster1
1.964305,0.006426,yes,cluster2
1.008097,0.740471,yes,cluster2
4.084526,2.52838,yes,cluster1
3.07535,2.224875,yes,cluster1
2.944628,1.021238,yes,cluster1
1.38155,0.461188,yes,cluster2
3.170895,0.574384,yes,cluster1
2.396715,-0.677201,yes,cluster2
2.049082,1.129491,yes,cluster2
2.381996,0.195251,yes,cluster2
2.297926,2.002436,yes,cluster1
2.454342,0.637656,yes,cluster1
2.469807,-0.599101,yes,cluster2
3.222285,-0.058822,yes,cluster1
3.222285,-0.058822,yes,cluster1
1.567653,1.137895,no,cluster2
1.191705,0.912491,no,cluster2
1.92838,1.752318,no,cluster1
1.593099,0.867013,no,cluster2
1.862272,1.170518,no,cluster2
2.681691,1.777034,no,cluster1
2.121302,1.670262,no,cluster1
2.178929,1.382577,no,cluster1
3.124246,0.856634,no,cluster1
1.394772,0.568946,no,cluster2
0.829976,-0.306964,no,cluster2
1.552558,-0.202172,no,cluster2
3.056638,1.512086,no,cluster1
1.072709,-0.159167,no,cluster2
1.457138,0.737506,no,cluster2
1.427452,0.969831,no,cluster2
1.483581,0.824503,no,cluster2
1.883978,0.229358,no,cluster2
2.691668,1.746387,no,cluster1
1.668687,0.354417,no,cluster2
1.378305,-0.542255,no,cluster2
1.553433,-0.11122,no,cluster2
0.99263,0.589708,no,cluster2
3.122747,1.469574,no,cluster1
1.411734,-1.117133,no,cluster2
1.52699,0.635678,no,cluster2
1.348869,0.536323,no,cluster2
0.980157,0.281261,no,cluster2
1.772091,0.869484,no,cluster2
3.016973,1.640604,no,cluster1
2.15415,1.873423,no,cluster1
3.074601,1.317329,no,cluster1
1.722945,1.011351,no,cluster2
0.795051,0.882338,no,cluster2
1.411734,0.049431,no,cluster2
1.662947,-0.910019,no,cluster2
1.432067,0.774578,no,cluster2
1.443917,-0.116162,no,cluster2
3.604469,2.281227,no,cluster1
2.056857,1.341054,no,cluster2
1.745523,-0.391984,no,cluster2
1.200187,0.66336,no,cluster2
2.052118,0.774578,no,cluster2
2.478624,1.255541,no,cluster1
1.954824,-0.447843,no,cluster2
2.754784,1.706347,no,cluster1
1.337145,0.818572,no,cluster2
1.304465,-0.137417,no,cluster2
1.824977,1.004432,no,cluster2
1.471732,0.594651,no,cluster2
1.480339,0.489365,no,cluster2
2.086711,2.02122,no,cluster1
1.394772,0.301526,no,cluster2
1.410362,0.939182,no,cluster2
1.632763,-0.532368,no,cluster2
2.012453,1.472046,no,cluster1
1.280516,1.298051,no,cluster2
3.812857,2.781958,no,cluster1
2.551799,1.6149,no,cluster1
0.988637,0.482937,no,cluster2
1.547321,1.669274,no,cluster2
1.425289,1.515049,no,cluster2
1.204927,-0.364798,no,cluster2
4.137414,2.589179,no,cluster1
2.45455,2.275295,no,cluster1
2.454425,0.53484,no,cluster2
1.8609,0.788913,no,cluster2
2.056857,0.716745,no,cluster2
0.755387,1.737489,no,cluster2
1.090671,1.388509,no,cluster2
2.100264,-0.254075,no,cluster2
1.82872,0.002472,no,cluster2
2.060598,0.912985,no,cluster2
1.709723,0.703893,no,cluster2
1.646733,-0.89865,no,cluster2
2.775241,2.333623,no,cluster1
2.259174,0.702904,no,cluster2
1.639873,0.737012,no,cluster2
1.172496,0.729597,no,cluster2
1.070465,0.337611,no,cluster2
1.746271,0.404837,no,cluster2
1.698122,1.227364,no,cluster2
2.303664,1.520981,no,cluster1
3.818178,0.368257,no,cluster1
2.897977,2.23822,no,cluster1
1.425954,0.607997,no,cluster2
1.572891,0.117646,no,cluster2
1.181726,0.989108,no,cluster2
0.812017,1.189302,no,cluster2
3.524474,1.663836,no,cluster1
1.789179,0.434989,no,cluster2
1.335648,0.706365,no,cluster2
1.544201,0.184377,no,cluster2
2.012453,0.791384,no,cluster2
3.624509,1.606003,no,cluster1
2.615414,0.872451,no,cluster1
1.470858,-0.490846,no,cluster2
0.791185,0.616894,no,cluster2
1.524494,0.92633,no,cluster2
0.750647,0.352439,no,cluster2
1.100649,-0.056846,no,cluster2
2.01345,0.867014,no,cluster2
2.27406,0.23529,no,cluster2
1.052501,0.668797,no,cluster2
1.011341,1.595127,no,cluster2
1.390031,-0.632218,no,cluster2
3.364064,2.447807,no,cluster1
0.424843,0.944127,no,cluster2
1.221891,-0.258522,no,cluster2
0.882864,0.372708,no,cluster2
1.789054,-0.562026,no,cluster2
1.299225,0.544233,no,cluster2
1.993076,0.389512,no,cluster2
2.334597,0.654956,no,cluster2
1.432939,0.446854,no,cluster2
1.400259,0.350463,no,cluster2
1.679414,0.272363,no,cluster2
2.510556,1.735018,no,cluster1
2.402121,-0.95154,no,cluster2
1.637502,-0.257038,no,cluster2
1.399511,0.478983,no,cluster2
3.588834,1.390979,no,cluster1
2.787381,0.274833,no,cluster1
1.213407,0.970818,no,cluster2
1.335648,0.384571,no,cluster2
2.072324,-0.272857,no,cluster2
1.239104,1.805703,no,cluster2
2.23348,0.571913,no,cluster2
3.146946,1.999966,no,cluster1
1.390031,0.711308,no,cluster2
1.716833,-0.263961,no,cluster2
1.349617,0.641609,no,cluster2
1.39502,0.414229,no,cluster2
1.439177,0.599099,no,cluster2
2.800019,1.989089,no,cluster1
1.742528,0.806214,no,cluster2
1.170002,0.16411,no,cluster2
2.527436,1.156677,no,cluster1
